File;N;P;Population_Size;Mutation_Prob;Fitness
2;20;4;10.0;0.2;1.529987337955754E8
2;20;4;50.0;0.01;1.39323678194119E8
2;20;4;50.0;0.05;1.4265921850784388E8
2;20;4;50.0;0.1;1.3732551617228934E8
2;20;4;50.0;0.2;1.4385750204700497E8
2;20;4;100.0;0.01;1.3815551756257173E8
2;20;4;100.0;0.05;1.386063579232084E8
2;20;4;100.0;0.1;1.375098258622896E8
2;20;4;100.0;0.2;1.3562488360217682E8
2;20;4;150.0;0.01;1.361473175716763E8
2;20;4;150.0;0.05;1.386063579232084E8
2;20;4;150.0;0.1;1.3732551617228934E8
2;20;4;150.0;0.2;1.4076226692121792E8
2;20;4;200.0;0.01;1.3562488360217682E8
2;20;4;200.0;0.05;1.3562488360217682E8
2;20;4;200.0;0.1;1.3562488360217682E8
2;20;4;200.0;0.2;1.3732551617228934E8
2;20;5;10.0;0.01;1.413201204111116E8
2;20;5;10.0;0.05;1.3667262606055763E8
2;20;5;10.0;0.1;1.3292825987456171E8
2;20;5;10.0;0.2;1.233477010530523E8
2;20;5;50.0;0.01;1.2408916128968297E8
2;20;5;50.0;0.05;1.233477010530523E8
2;20;5;50.0;0.1;1.2337054117845997E8
2;20;5;50.0;0.2;1.2773319771037804E8
2;20;5;100.0;0.01;1.247009901435066E8
2;20;5;100.0;0.05;1.2467244639133976E8
2;20;5;100.0;0.1;1.2495361418601741E8
2;20;5;100.0;0.2;1.287103445142327E8
2;20;5;150.0;0.01;1.2337054117845997E8
2;20;5;150.0;0.05;1.2467244639133976E8
2;20;5;150.0;0.1;1.2345301026897414E8
2;20;5;150.0;0.2;1.2499588028179054E8
2;20;5;200.0;0.01;1.2495361418601741E8
2;20;5;200.0;0.05;1.2337054117845997E8
2;20;5;200.0;0.1;1.2499588028179054E8
2;20;5;200.0;0.2;1.2337054117845997E8
3;30;2;10.0;0.01;1.9978704499210253E8
3;30;2;10.0;0.05;1.99460792894716E8
3;30;2;10.0;0.1;1.752311326307103E8
3;30;2;10.0;0.2;2.1960000731255838E8
3;30;2;50.0;0.01;1.804445174575727E8
3;30;2;50.0;0.05;1.8437513657640982E8
3;30;2;50.0;0.1;1.752311326307103E8
3;30;2;50.0;0.2;1.8843709129629457E8
3;30;2;100.0;0.01;1.8437513657640982E8
3;30;2;100.0;0.05;1.752311326307103E8
3;30;2;100.0;0.1;1.752311326307103E8
3;30;2;100.0;0.2;1.8139343470794043E8
3;30;2;150.0;0.01;1.752311326307103E8
3;30;2;150.0;0.05;1.752311326307103E8
3;30;2;150.0;0.1;1.752311326307103E8
3;30;2;150.0;0.2;1.752311326307103E8
3;30;2;200.0;0.01;1.804445174575727E8
3;30;2;200.0;0.05;1.752311326307103E8
3;30;2;200.0;0.1;1.752311326307103E8
3;30;2;200.0;0.2;1.752311326307103E8
3;30;3;10.0;0.01;1.8619309751336777E8
3;30;3;10.0;0.05;1.883373989533627E8
3;30;3;10.0;0.1;1.6643270140628818E8
3;30;3;10.0;0.2;1.8322226351520273E8
3;30;3;50.0;0.01;1.6796739541787994E8
3;30;3;50.0;0.05;1.6237202963053915E8
3;30;3;50.0;0.1;1.631322661101912E8
3;30;3;50.0;0.2;1.6018953122072074E8
3;30;3;100.0;0.01;1.5597520928444985E8
3;30;3;100.0;0.05;1.6193032913577363E8
3;30;3;100.0;0.1;1.5595635660477382E8
3;30;3;100.0;0.2;1.5595635660477382E8
3;30;3;150.0;0.01;1.582441668566766E8
3;30;3;150.0;0.05;1.5595635660477382E8
3;30;3;150.0;0.1;1.6018953122072074E8
3;30;3;150.0;0.2;1.5595635660477382E8
3;30;3;200.0;0.01;1.582441668566766E8
3;30;3;200.0;0.05;1.5595635660477382E8
3;30;3;200.0;0.1;1.578444980202156E8
3;30;3;200.0;0.2;1.5595635660477382E8
3;30;4;10.0;0.01;1.778076845928353E8
3;30;4;10.0;0.05;1.6331472960520554E8
3;30;4;10.0;0.1;1.7518116573350105E8
3;30;4;10.0;0.2;1.4894966895826286E8
3;30;4;50.0;0.01;1.454016903227183E8
3;30;4;50.0;0.05;1.5017563706930637E8
3;30;4;50.0;0.1;1.4807444590912727E8
3;30;4;50.0;0.2;1.5104792274972785E8
3;30;4;100.0;0.01;1.4807324196247372E8
3;30;4;100.0;0.05;1.4630255084622297E8
3;30;4;100.0;0.1;1.4590490722889063E8
3;30;4;100.0;0.2;1.4894803154928777E8
3;30;4;150.0;0.01;1.4714376299897218E8
3;30;4;150.0;0.05;1.4144848574820447E8
3;30;4;150.0;0.1;1.4144848574820447E8
3;30;4;150.0;0.2;1.4144848574820447E8
3;30;4;200.0;0.01;1.4585300133683312E8
3;30;4;200.0;0.05;1.4150177138037604E8
3;30;4;200.0;0.1;1.4144848574820447E8
3;30;4;200.0;0.2;1.451756431906856E8
3;30;5;10.0;0.01;1.5031750823720744E8
3;30;5;10.0;0.05;1.6085655230838138E8
3;30;5;10.0;0.1;1.5139524889691126E8
3;30;5;10.0;0.2;1.530372721109145E8
3;30;5;50.0;0.01;1.413405435177449E8
3;30;5;50.0;0.05;1.397352877855707E8
3;30;5;50.0;0.1;1.3781496432715654E8
3;30;5;50.0;0.2;1.3112850440852824E8
3;30;5;100.0;0.01;1.3263448456450538E8
3;30;5;100.0;0.05;1.371192561204932E8
3;30;5;100.0;0.1;1.3048266248086509E8
3;30;5;100.0;0.2;1.2939112439687453E8
3;30;5;150.0;0.01;1.3539844107118368E8
3;30;5;150.0;0.05;1.2974385645980603E8
3;30;5;150.0;0.1;1.3223497702999017E8
3;30;5;150.0;0.2;1.2939112439687453E8
3;30;5;200.0;0.01;1.3112850440852824E8
3;30;5;200.0;0.05;1.3112850440852824E8
3;30;5;200.0;0.1;1.3343693298238954E8
3;30;5;200.0;0.2;1.3048266248086509E8
4;40;2;10.0;0.01;1.867011226611027E8
4;40;2;10.0;0.05;2.1371425533843553E8
4;40;2;10.0;0.1;1.97380785660881E8
4;40;2;10.0;0.2;2.145332477875139E8
4;40;2;50.0;0.01;1.8079195827120388E8
4;40;2;50.0;0.05;1.8303361994371387E8
4;40;2;50.0;0.1;1.8076867003936931E8
4;40;2;50.0;0.2;1.7860258219540703E8
4;40;2;100.0;0.01;1.7747167360141966E8
4;40;2;100.0;0.05;1.8303361994371387E8
4;40;2;100.0;0.1;1.7860258219540703E8
4;40;2;100.0;0.2;1.8303361994371387E8
4;40;2;150.0;0.01;1.7860258219540703E8
4;40;2;150.0;0.05;1.7747167360141966E8
4;40;2;150.0;0.1;1.7747167360141966E8
4;40;2;150.0;0.2;1.7860258219540703E8
4;40;2;200.0;0.01;1.7747167360141966E8
4;40;2;200.0;0.05;1.7747167360141966E8
4;40;2;200.0;0.1;1.7747167360141966E8
4;40;2;200.0;0.2;1.7747167360141966E8
4;40;3;10.0;0.01;1.8766135462145928E8
4;40;3;10.0;0.05;1.699782940944065E8
4;40;3;10.0;0.1;1.742907500216605E8
4;40;3;10.0;0.2;1.6472409847067314E8
4;40;3;50.0;0.01;1.6859810355754182E8
4;40;3;50.0;0.05;1.6210781423410797E8
4;40;3;50.0;0.1;1.6447266077675888E8
4;40;3;50.0;0.2;1.684402504650576E8
4;40;3;100.0;0.01;1.7173335484891772E8
4;40;3;100.0;0.05;1.6343583930697143E8
4;40;3;100.0;0.1;1.6587366140108773E8
4;40;3;100.0;0.2;1.6463689145463723E8
4;40;3;150.0;0.01;1.5883054459377244E8
4;40;3;150.0;0.05;1.6129297044924468E8
4;40;3;150.0;0.1;1.597140796542058E8
4;40;3;150.0;0.2;1.6217882853115812E8
4;40;3;200.0;0.01;1.6343583930697143E8
4;40;3;200.0;0.05;1.6270317202550045E8
4;40;3;200.0;0.1;1.597140796542058E8
4;40;3;200.0;0.2;1.60811323882401E8
4;40;4;10.0;0.01;1.682255883854555E8
4;40;4;10.0;0.05;1.5434700346756813E8
4;40;4;10.0;0.1;1.5940243285994604E8
4;40;4;10.0;0.2;1.838044493657525E8
4;40;4;50.0;0.01;1.5562988824269027E8
4;40;4;50.0;0.05;1.5100326376537573E8
4;40;4;50.0;0.1;1.556157325523292E8
4;40;4;50.0;0.2;1.5643068803035203E8
4;40;4;100.0;0.01;1.4918514493824044E8
4;40;4;100.0;0.05;1.4705082425977117E8
4;40;4;100.0;0.1;1.4933360653654614E8
4;40;4;100.0;0.2;1.471404726885074E8
4;40;4;150.0;0.01;1.4690641799742708E8
4;40;4;150.0;0.05;1.4722778915217486E8
4;40;4;150.0;0.1;1.5166411662723035E8
4;40;4;150.0;0.2;1.456288775060539E8
4;40;4;200.0;0.01;1.4502736792759123E8
4;40;4;200.0;0.05;1.456288775060539E8
4;40;4;200.0;0.1;1.479074407447058E8
4;40;4;200.0;0.2;1.4722778915217486E8
4;40;5;10.0;0.01;1.5960253788361397E8
4;40;5;10.0;0.05;1.648396648133596E8
4;40;5;10.0;0.1;1.5753671303758624E8
4;40;5;10.0;0.2;1.732017328536489E8
4;40;5;50.0;0.01;1.367474240107685E8
4;40;5;50.0;0.05;1.410878312279052E8
4;40;5;50.0;0.1;1.443764520485794E8
4;40;5;50.0;0.2;1.3631494803593457E8
4;40;5;100.0;0.01;1.4241449565636718E8
4;40;5;100.0;0.05;1.3759285361616758E8
4;40;5;100.0;0.1;1.3713073718804136E8
4;40;5;100.0;0.2;1.4140871158530104E8
4;40;5;150.0;0.01;1.3702892403394523E8
4;40;5;150.0;0.05;1.4217297655271617E8
4;40;5;150.0;0.1;1.392841126211454E8
4;40;5;150.0;0.2;1.3935291405671987E8
4;40;5;200.0;0.01;1.373243073214858E8
4;40;5;200.0;0.05;1.374565043974338E8
4;40;5;200.0;0.1;1.400871600950621E8
4;40;5;200.0;0.2;1.4050206130110517E8
5;50;2;10.0;0.01;1.8409270709240904E8
5;50;2;10.0;0.05;2.1355102647915944E8
5;50;2;10.0;0.1;2.2343271167260298E8
5;50;2;10.0;0.2;1.9241207344281214E8
5;50;2;50.0;0.01;1.9624074032973874E8
5;50;2;50.0;0.05;1.797919190726828E8
5;50;2;50.0;0.1;1.7854898256064263E8
5;50;2;50.0;0.2;1.797919190726828E8
5;50;2;100.0;0.01;1.7918248148424187E8
5;50;2;100.0;0.05;1.7854898256064263E8
5;50;2;100.0;0.1;1.8984739252242962E8
5;50;2;100.0;0.2;1.7848428570258635E8
5;50;2;150.0;0.01;1.7848428570258635E8
5;50;2;150.0;0.05;1.8305260133970004E8
5;50;2;150.0;0.1;1.7854898256064263E8
5;50;2;150.0;0.2;1.7848428570258635E8
5;50;2;200.0;0.01;1.7848428570258635E8
5;50;2;200.0;0.05;1.7854898256064263E8
5;50;2;200.0;0.1;1.7918248148424187E8
5;50;2;200.0;0.2;1.7854898256064263E8
5;50;3;10.0;0.01;1.66862769439622E8
5;50;3;10.0;0.05;1.763927925173478E8
5;50;3;10.0;0.1;1.8943651864997742E8
5;50;3;10.0;0.2;1.6858040872395125E8
5;50;3;50.0;0.01;1.6627885815297502E8
5;50;3;50.0;0.05;1.6301212493837205E8
5;50;3;50.0;0.1;1.6988508174507928E8
5;50;3;50.0;0.2;1.6667774023292872E8
5;50;3;100.0;0.01;1.6508751106256363E8
5;50;3;100.0;0.05;1.6258277392841867E8
5;50;3;100.0;0.1;1.5856993339481157E8
5;50;3;100.0;0.2;1.632830625607912E8
5;50;3;150.0;0.01;1.6100812675525996E8
5;50;3;150.0;0.05;1.5856993339481157E8
5;50;3;150.0;0.1;1.5856993339481157E8
5;50;3;150.0;0.2;1.6198098743613118E8
5;50;3;200.0;0.01;1.6301212493837205E8
5;50;3;200.0;0.05;1.601507351427161E8
5;50;3;200.0;0.1;1.5856993339481157E8
5;50;3;200.0;0.2;1.5973985893302062E8
5;50;4;10.0;0.01;1.7114514532093373E8
5;50;4;10.0;0.05;1.705758944666864E8
5;50;4;10.0;0.1;1.7439769770987025E8
5;50;4;10.0;0.2;1.750742982335825E8
5;50;4;50.0;0.01;1.5161012995880055E8
5;50;4;50.0;0.05;1.5598927146858984E8
5;50;4;50.0;0.1;1.5484844455826753E8
5;50;4;50.0;0.2;1.5468348125328964E8
5;50;4;100.0;0.01;1.5119534514340642E8
5;50;4;100.0;0.05;1.509430476050138E8
5;50;4;100.0;0.1;1.444155300113894E8
5;50;4;100.0;0.2;1.455788166055779E8
5;50;4;150.0;0.01;1.4987095879428822E8
5;50;4;150.0;0.05;1.4995594678044054E8
5;50;4;150.0;0.1;1.5232149086701936E8
5;50;4;150.0;0.2;1.466689936240596E8
5;50;4;200.0;0.01;1.4628237067777663E8
5;50;4;200.0;0.05;1.519174668246841E8
5;50;4;200.0;0.1;1.4470592538785926E8
5;50;4;200.0;0.2;1.5203618469415894E8
5;50;5;10.0;0.01;1.4683283788673678E8
5;50;5;10.0;0.05;1.495860806137781E8
5;50;5;10.0;0.1;1.5599200718414226E8
5;50;5;10.0;0.2;1.4995768566964325E8
5;50;5;50.0;0.01;1.4239659241986609E8
5;50;5;50.0;0.05;1.4551415864689517E8
5;50;5;50.0;0.1;1.474217511210198E8
5;50;5;50.0;0.2;1.4263902952721015E8
5;50;5;100.0;0.01;1.4146175636569482E8
5;50;5;100.0;0.05;1.3323547699692172E8
5;50;5;100.0;0.1;1.4077791654465863E8
5;50;5;100.0;0.2;1.3822641335631236E8
5;50;5;150.0;0.01;1.3773058079669544E8
5;50;5;150.0;0.05;1.388782746969067E8
5;50;5;150.0;0.1;1.366432490955151E8
5;50;5;150.0;0.2;1.381441349551723E8
5;50;5;200.0;0.01;1.3404191028060503E8
5;50;5;200.0;0.05;1.3627777788135332E8
5;50;5;200.0;0.1;1.392476619210704E8
5;50;5;200.0;0.2;1.3515716108426335E8
6;200;8;10.0;0.01;1.4426305395205837E8
6;200;8;10.0;0.05;1.411090251870266E8
6;200;8;10.0;0.1;1.556140492395449E8
6;200;8;10.0;0.2;1.37506346623086E8
6;200;8;50.0;0.01;1.3559201975023422E8
6;200;8;50.0;0.05;1.344762830215007E8
6;200;8;50.0;0.1;1.3236601845683333E8
6;200;8;50.0;0.2;1.3172467086333984E8
6;200;8;100.0;0.01;1.2713096907644309E8
6;200;8;100.0;0.05;1.290914845190716E8
6;200;8;100.0;0.1;1.3361458589834295E8
6;200;8;100.0;0.2;1.3301762669779877E8
6;200;8;150.0;0.01;1.2624481076212107E8
6;200;8;150.0;0.05;1.2579338545643997E8
6;200;8;150.0;0.1;1.2740306371512794E8
6;200;8;150.0;0.2;1.2766067000926495E8
6;200;8;200.0;0.01;1.2883947170906125E8
6;200;8;200.0;0.05;1.2524764060463816E8
6;200;8;200.0;0.1;1.2843838541373718E8
6;200;8;200.0;0.2;1.295194113383297E8
